ID_Aluno,ID_Disciplina,Presenca,Nota_Midterm,Nota_Final,Nota_Projetos,Nota_Total,Conceito
S1000,Engineering,52.29,55.03,57.82,85.9,56.09,F
S1001,Engineering,97.27,97.23,45.8,55.65,50.64,A
S1002,Business,57.19,67.05,93.68,73.79,70.3,D
S1003,Mathematics,95.15,47.79,80.63,92.12,61.63,A
S1004,CS,54.18,46.59,78.89,68.42,66.13,F
S1005,Engineering,,78.85,43.53,67.29,62.08,B
S1006,Business,57.6,66.26,89.07,93.65,83.21,F
S1007,Engineering,51.91,45.67,73.96,93.24,81.93,F
S1008,CS,85.97,84.42,90.87,94.01,95.62,A
S1009,Engineering,64.01,87.96,98.47,78.6,84.99,A
S1010,CS,85.72,83.52,97.43,97.62,58.25,A
S1011,Engineering,77.75,52.14,91.37,90.95,87.58,C
S1012,Engineering,55.44,81.39,40.66,70.78,59.06,F
S1013,Business,96.61,40.64,93.14,81.48,77.93,A
S1014,Engineering,72.62,58.31,44.5,56.09,53.85,B
S1015,CS,86.72,63.93,91.07,77.57,52.37,A
S1016,CS,75.05,90.11,56.81,63.16,73.21,F
S1017,Business,80.22,63.42,76.6,64.18,55.25,F
S1018,CS,65.14,40.68,42.28,56.29,65.33,B
S1019,Engineering,60.02,61.14,86.27,67.91,66.94,D
S1020,CS,77.13,69.94,46.7,74.07,88.47,D
S1021,Business,72.01,96.94,64.64,80.02,66.63,C
S1022,Engineering,69.51,96.46,89.05,65.24,74.72,C
S1023,CS,83.63,50.85,81.72,89.61,88.63,D
S1024,CS,84.53,51.11,40.36,76.05,60.24,A
S1025,Business,52.3,49.8,64.18,81.9,90.24,C
S1026,Engineering,66.94,87.34,42.52,63.91,91.59,A
S1027,Business,70.59,40.36,80.41,90.71,99.44,D
S1028,Business,54.84,47.63,98.14,81.21,72.2,D
S1029,Mathematics,61.8,72.28,79.32,93.12,68.53,A
S1030,CS,52.58,54.85,53.46,58.0,85.1,F
S1031,Mathematics,99.81,45.54,61.31,69.03,52.91,B
S1032,CS,,61.59,98.6,55.65,51.99,D
S1033,CS,54.37,56.45,53.44,60.78,66.75,D
S1034,Business,51.01,70.67,73.69,69.73,86.48,F
S1035,CS,85.96,98.75,64.03,94.73,55.82,A
S1036,CS,71.96,47.46,86.1,77.85,81.78,F
S1037,CS,89.34,62.36,92.04,66.52,63.48,A
S1038,Engineering,96.17,95.92,60.45,87.34,82.58,A
S1039,Engineering,79.97,92.61,79.62,50.98,72.85,A
S1040,Business,59.36,63.66,72.94,68.5,55.76,C
S1041,Business,89.11,81.94,56.71,80.04,62.36,A
S1042,Engineering,97.79,45.27,56.32,79.16,60.99,A
S1043,CS,79.01,82.75,72.32,80.38,58.23,A
S1044,Mathematics,84.1,98.37,49.24,60.58,73.42,D
S1045,CS,66.87,72.25,88.65,66.85,97.73,C
S1046,CS,,69.91,44.14,96.58,82.9,C
S1047,CS,86.73,51.24,45.67,98.7,91.8,A
S1048,Engineering,96.39,78.03,60.53,65.6,99.05,B
S1049,CS,81.45,75.43,47.09,82.23,77.03,B
S1050,CS,89.49,79.12,68.54,62.06,61.9,A
S1051,CS,58.58,41.56,63.98,68.43,96.39,D
S1052,CS,60.6,72.92,83.31,89.62,84.95,B
S1053,Engineering,76.6,75.7,97.18,75.06,97.95,C
S1054,Business,,52.45,85.21,92.48,82.55,B
S1055,Business,81.75,52.5,50.77,81.44,88.76,A
S1056,CS,64.58,56.57,96.13,81.45,94.53,F
S1057,CS,89.58,82.7,63.53,51.69,87.96,A
S1058,Mathematics,90.41,76.38,68.45,87.48,78.13,B
S1059,CS,73.19,90.75,65.29,98.89,73.6,F
S1060,Business,59.04,57.74,56.83,73.65,91.17,D
S1061,CS,82.34,94.72,93.7,57.93,88.6,B
S1062,Mathematics,99.64,84.62,59.93,98.85,68.32,A
S1063,CS,81.13,63.7,74.72,64.51,74.92,F
S1064,Engineering,51.79,45.72,54.4,70.46,81.75,C
S1065,Business,50.86,55.42,87.84,53.87,51.42,F
S1066,Engineering,66.02,97.41,86.45,55.54,62.38,A
S1067,CS,59.79,58.62,57.78,60.83,62.51,D
S1068,Engineering,90.65,59.79,80.89,77.42,94.16,A
S1069,Business,92.24,51.38,82.23,77.89,66.57,A
S1070,CS,62.93,88.41,73.75,80.31,77.26,B
S1071,CS,66.28,56.54,76.04,79.19,91.58,C
S1072,Engineering,61.81,59.82,74.47,74.76,62.98,B
S1073,CS,95.42,64.86,44.91,90.1,56.19,A
S1074,Engineering,75.13,66.02,80.22,96.69,97.42,A
S1075,CS,82.81,64.68,68.19,63.49,85.23,F
S1076,Engineering,70.77,70.22,66.31,56.51,58.85,A
S1077,CS,81.55,88.87,91.6,71.25,90.99,D
S1078,Engineering,69.29,89.16,41.39,51.32,89.36,A
S1079,CS,66.98,87.9,55.08,94.17,91.88,A
S1080,CS,81.72,46.07,47.28,61.99,63.81,A
S1081,CS,,87.98,42.12,77.46,72.43,D
S1082,Mathematics,,47.22,56.54,55.75,84.68,A
S1083,CS,57.47,47.48,99.31,77.66,69.53,D
S1084,Business,68.43,96.87,56.21,51.95,53.5,F
S1085,CS,70.76,89.16,79.82,88.44,56.82,C
S1086,CS,81.43,73.14,47.1,97.77,79.86,C
S1087,Engineering,95.73,92.5,76.11,65.35,68.76,B
S1088,Engineering,,99.36,99.07,62.91,50.27,C
S1089,Mathematics,,76.64,57.51,72.4,88.34,F
S1090,Mathematics,59.69,76.77,90.88,81.0,70.84,C
S1091,Business,75.11,85.27,99.85,59.45,65.69,B
S1092,Engineering,71.49,53.93,75.31,90.17,85.68,D
S1093,Engineering,86.45,50.03,58.56,59.93,72.76,A
S1094,CS,,85.57,80.41,50.27,84.74,F
S1095,Mathematics,79.72,60.69,90.69,76.21,50.66,D
S1096,Engineering,94.19,48.1,50.28,55.76,50.47,A
S1097,Engineering,95.53,58.89,67.15,84.91,78.0,A
S1098,CS,97.94,61.52,59.15,58.37,99.11,B
S1099,CS,88.66,97.91,57.0,90.87,63.62,B
S1100,Mathematics,95.3,81.88,91.65,73.52,84.14,A
S1101,CS,61.73,71.85,65.3,78.31,58.61,F
S1102,Engineering,59.88,98.13,60.34,59.33,65.58,F
S1103,CS,50.32,94.19,76.21,57.33,53.9,D
S1104,Business,85.34,70.72,53.16,81.56,94.04,A
S1105,CS,96.87,94.34,53.79,62.77,65.52,A
S1106,Business,59.35,64.26,71.22,69.3,61.52,D
S1107,CS,81.85,53.83,64.56,73.97,86.53,F
S1108,Business,87.32,53.96,57.7,61.48,59.97,A
S1109,Business,96.38,79.74,43.24,89.77,62.01,B
S1110,CS,82.34,70.06,71.25,96.97,55.18,F
S1111,Engineering,98.51,79.54,89.0,71.59,98.14,B
S1112,CS,67.23,81.16,91.08,95.88,62.38,B
S1113,CS,67.5,41.34,54.13,94.13,99.78,C
