ID_Aluno,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,6.2,No,Yes,5,4.7
S1001,19.0,No,Yes,4,9.0
S1002,20.7,No,Yes,6,6.2
S1003,24.8,Yes,Yes,3,6.7
S1004,15.4,Yes,Yes,2,7.1
S1005,8.5,Yes,Yes,1,5.0
S1006,21.3,No,Yes,5,6.4
S1007,27.3,Yes,No,4,4.3
S1008,8.0,No,No,9,8.8
S1009,9.6,No,Yes,10,6.4
S1010,13.2,No,Yes,1,4.1
S1011,21.3,No,Yes,9,7.0
S1012,18.1,No,Yes,8,4.5
S1013,22.8,No,Yes,10,7.9
S1014,5.8,No,Yes,4,8.8
S1015,25.3,No,Yes,2,8.6
S1016,29.7,No,Yes,3,6.1
S1017,6.2,No,No,10,7.6
S1018,17.4,No,Yes,9,4.8
S1019,23.5,Yes,Yes,10,4.4
S1020,16.9,No,Yes,2,8.1
S1021,19.8,No,Yes,8,7.5
S1022,28.0,Yes,Yes,10,8.5
S1023,18.5,No,Yes,1,8.6
S1024,10.9,Yes,Yes,4,5.7
S1025,23.5,No,Yes,3,5.6
S1026,14.4,No,Yes,10,6.2
S1027,12.1,Yes,Yes,2,7.3
S1028,11.2,Yes,Yes,3,4.0
S1029,7.0,No,Yes,3,6.7
S1030,28.3,No,Yes,9,4.1
S1031,19.1,No,Yes,3,6.3
S1032,28.9,No,Yes,9,4.4
S1033,26.5,No,Yes,4,6.8
S1034,5.8,No,Yes,1,5.6
S1035,11.2,No,Yes,8,6.4
S1036,12.9,No,Yes,10,8.8
S1037,17.2,No,Yes,5,5.7
S1038,22.9,Yes,Yes,2,7.6
S1039,22.0,No,Yes,9,7.4
S1040,29.7,No,Yes,7,8.3
S1041,28.1,No,Yes,6,5.7
S1042,9.7,No,Yes,2,4.3
S1043,26.5,Yes,Yes,6,8.9
S1044,26.1,Yes,Yes,7,5.8
S1045,19.4,No,Yes,5,5.0
S1046,13.5,No,Yes,5,8.6
S1047,10.2,No,Yes,4,5.0
S1048,10.3,No,Yes,10,6.6
S1049,13.4,No,Yes,1,7.8
S1050,17.6,No,Yes,10,7.7
S1051,19.6,Yes,Yes,7,4.1
S1052,13.1,No,Yes,3,5.0
S1053,13.9,No,Yes,5,8.4
S1054,5.3,No,Yes,8,6.8
S1055,5.1,No,Yes,2,7.4
S1056,27.7,No,Yes,4,6.0
S1057,5.4,Yes,Yes,9,7.7
S1058,5.8,Yes,Yes,2,5.4
S1059,10.1,No,No,8,5.2
S1060,23.6,No,Yes,9,9.0
S1061,22.0,No,Yes,3,4.8
S1062,21.2,Yes,Yes,5,8.9
S1063,19.4,No,Yes,4,8.6
S1064,10.0,No,Yes,10,7.6
S1065,14.9,No,No,10,6.9
S1066,17.0,No,Yes,8,4.0
S1067,19.6,No,Yes,8,7.2
S1068,10.0,No,Yes,5,7.9
S1069,23.2,No,Yes,5,7.7
S1070,12.7,No,Yes,1,4.9
S1071,21.5,No,Yes,5,6.7
S1072,17.8,Yes,No,1,6.8
S1073,19.8,Yes,Yes,4,7.3
S1074,15.3,No,Yes,7,8.2
S1075,16.1,No,Yes,2,7.5
S1076,26.7,No,Yes,1,4.7
S1077,16.9,Yes,Yes,2,4.1
S1078,24.8,No,Yes,7,4.7
S1079,14.9,No,Yes,3,4.2
S1080,22.5,Yes,Yes,5,6.2
S1081,10.8,No,Yes,1,5.4
S1082,27.9,No,Yes,10,4.0
S1083,29.2,No,Yes,10,4.4
S1084,27.5,Yes,Yes,10,6.0
S1085,13.7,No,Yes,8,8.7
S1086,11.9,No,Yes,4,9.0
S1087,9.6,Yes,Yes,10,4.3
S1088,26.8,No,Yes,2,8.2
S1089,8.0,No,Yes,8,6.4
S1090,21.1,No,Yes,10,7.1
S1091,13.3,No,Yes,5,6.5
S1092,9.7,No,Yes,2,8.6
S1093,9.6,No,Yes,9,6.4
S1094,26.8,No,Yes,6,4.8
S1095,26.5,Yes,Yes,8,7.9
S1096,11.8,No,Yes,2,6.6
S1097,5.8,Yes,Yes,5,4.6
S1098,26.7,No,Yes,3,6.3
S1099,6.4,No,Yes,8,7.4
S1100,7.1,No,No,1,5.5
S1101,25.5,No,Yes,9,8.6
S1102,25.4,No,Yes,6,8.2
S1103,10.1,No,Yes,1,6.8
S1104,6.0,No,Yes,3,4.3
S1105,6.6,No,Yes,8,6.9
S1106,16.3,Yes,Yes,8,6.1
S1107,15.5,No,Yes,3,7.6
S1108,9.6,No,Yes,10,5.3
S1109,27.7,Yes,Yes,8,7.0
S1110,18.8,Yes,Yes,6,6.8
S1111,25.2,No,Yes,7,6.6
S1112,7.6,No,Yes,2,4.6
S1113,29.3,Yes,Yes,1,6.4
S1114,25.2,No,Yes,1,6.8
S1115,12.2,No,Yes,3,8.6
S1116,5.5,Yes,Yes,7,6.3
S1117,9.1,No,Yes,9,7.2
S1118,15.5,No,Yes,2,6.8
S1119,5.1,No,Yes,6,5.0
S1120,6.0,Yes,Yes,8,4.9
S1121,7.5,Yes,Yes,9,7.7
S1122,25.2,No,Yes,10,6.6
S1123,18.7,Yes,Yes,3,8.5
S1124,9.8,Yes,Yes,5,8.5
S1125,11.6,No,Yes,5,5.5
S1126,21.1,Yes,Yes,8,4.5
S1127,13.0,No,Yes,1,5.7
S1128,22.1,No,Yes,3,4.3
S1129,24.5,Yes,No,6,7.9
S1130,12.7,Yes,Yes,6,4.7
S1131,14.2,No,Yes,4,8.3
S1132,6.3,No,Yes,5,6.1
S1133,25.5,No,Yes,10,5.4
S1134,20.2,No,Yes,3,6.5
S1135,27.2,No,Yes,4,7.0
S1136,9.7,Yes,Yes,10,7.5
S1137,29.0,No,Yes,10,5.7
S1138,22.7,No,Yes,1,8.9
S1139,9.9,Yes,Yes,6,6.1
S1140,16.6,No,Yes,5,8.2
S1141,22.5,No,Yes,5,4.2
S1142,5.4,No,Yes,4,7.9
S1143,24.5,Yes,Yes,9,6.8
S1144,28.7,No,Yes,9,7.2
S1145,7.0,No,Yes,5,5.9
S1146,27.5,No,Yes,7,6.7
S1147,16.6,No,Yes,3,8.7
S1148,17.9,No,Yes,1,5.9
S1149,26.0,No,Yes,1,4.5
S1150,19.7,No,Yes,3,7.6
S1151,13.8,No,Yes,3,6.5
S1152,23.3,No,Yes,5,6.1
S1153,8.5,Yes,Yes,8,7.9
S1154,21.7,No,Yes,6,6.8
S1155,24.4,No,Yes,8,7.2
S1156,13.4,No,Yes,7,8.6
S1157,29.3,No,Yes,1,4.3
S1158,21.0,Yes,Yes,10,5.3
S1159,7.4,Yes,Yes,8,8.5
S1160,29.2,No,Yes,1,8.0
S1161,23.6,No,Yes,5,4.9
S1162,22.4,Yes,Yes,3,4.8
S1163,11.3,No,Yes,7,8.1
S1164,16.8,No,Yes,5,6.8
S1165,27.5,No,Yes,2,8.3
S1166,12.7,No,Yes,1,8.6
S1167,15.6,Yes,Yes,10,4.3
S1168,11.4,Yes,Yes,6,8.8
S1169,10.4,No,Yes,6,7.6
S1170,6.1,No,Yes,8,8.2
S1171,23.4,No,Yes,9,7.2
S1172,7.3,No,Yes,2,5.5
S1173,18.3,No,Yes,5,7.0
S1174,6.2,Yes,Yes,5,6.6
S1175,29.6,Yes,Yes,10,8.7
S1176,22.7,Yes,Yes,8,6.8
S1177,20.8,No,Yes,9,4.1
S1178,9.7,No,No,5,7.4
S1179,18.2,No,Yes,5,4.3
S1180,17.6,Yes,Yes,3,8.7
S1181,14.0,No,No,6,6.4
S1182,8.9,Yes,No,7,8.8
S1183,14.2,No,Yes,3,4.1
S1184,20.2,No,Yes,2,6.7
S1185,17.2,Yes,No,2,5.1
S1186,19.3,No,Yes,9,7.2
S1187,19.3,No,No,6,6.5
S1188,11.1,No,No,2,6.8
S1189,7.8,Yes,No,5,5.8
S1190,18.0,Yes,No,7,4.3
S1191,27.3,No,Yes,1,4.5
S1192,29.9,Yes,Yes,8,8.3
S1193,24.6,No,Yes,6,7.5
S1194,10.5,No,Yes,1,7.8
S1195,20.8,No,Yes,8,4.6
S1196,11.0,No,Yes,5,4.2
S1197,19.4,No,Yes,7,4.1
S1198,17.0,No,Yes,10,6.6
S1199,14.5,Yes,Yes,4,6.5
S1200,21.0,Yes,Yes,2,4.6
S1201,26.4,No,Yes,8,5.7
S1202,13.4,No,Yes,4,6.7
S1203,17.2,No,Yes,8,7.4
S1204,16.4,No,Yes,9,8.0
S1205,11.2,No,Yes,4,7.2
S1206,15.5,No,Yes,8,4.2
S1207,5.5,No,Yes,4,6.9
S1208,17.9,No,Yes,8,4.4
S1209,23.0,Yes,Yes,1,6.8
S1210,14.2,No,Yes,2,5.9
S1211,23.7,Yes,Yes,10,5.4
S1212,23.8,No,No,3,6.4
S1213,29.6,Yes,Yes,2,5.9
S1214,18.6,No,Yes,10,8.2
S1215,15.1,No,Yes,8,5.1
S1216,21.0,Yes,Yes,10,4.7
S1217,20.7,Yes,Yes,9,8.2
S1218,29.7,No,Yes,9,5.2
S1219,22.7,No,Yes,1,4.2
S1220,12.7,No,Yes,9,5.9
S1221,9.7,No,Yes,8,8.1
S1222,24.8,Yes,Yes,8,6.2
S1223,9.5,No,No,3,6.4
S1224,20.7,Yes,Yes,8,4.2
S1225,8.3,No,Yes,2,7.6
S1226,23.0,Yes,Yes,2,5.7
S1227,24.6,No,No,4,7.6
S1228,29.8,No,Yes,7,6.1
S1229,28.9,No,Yes,4,6.6
S1230,22.8,No,Yes,2,6.9
S1231,11.9,No,Yes,5,5.0
S1232,6.1,No,Yes,8,5.5
S1233,18.9,Yes,Yes,7,6.9
S1234,24.1,No,Yes,7,8.1
S1235,5.3,No,Yes,9,8.8
S1236,18.1,No,Yes,5,6.6
S1237,27.1,Yes,Yes,4,4.4
S1238,20.9,No,No,10,8.8
S1239,22.1,No,Yes,9,6.1
S1240,16.9,No,Yes,1,4.5
S1241,28.6,No,Yes,6,8.9
S1242,14.4,Yes,Yes,3,5.4
S1243,14.5,No,Yes,6,7.3
S1244,17.9,No,No,7,4.7
S1245,19.6,No,No,1,7.6
S1246,18.4,Yes,Yes,6,8.9
S1247,25.5,No,Yes,8,8.9
S1248,25.9,Yes,Yes,5,4.6
S1249,8.3,No,Yes,5,7.8
S1250,19.9,No,Yes,7,7.3
S1251,29.6,No,Yes,8,8.0
S1252,20.0,No,Yes,7,5.7
S1253,22.2,No,Yes,3,6.0
S1254,26.5,Yes,Yes,6,5.7
S1255,26.7,No,Yes,9,7.8
S1256,5.4,No,No,2,8.0
S1257,11.0,No,Yes,9,5.2
S1258,26.6,No,Yes,3,6.9
S1259,21.7,No,Yes,3,4.6
S1260,20.8,No,Yes,10,4.1
S1261,26.5,Yes,Yes,2,7.1
S1262,25.2,No,Yes,3,8.2
S1263,23.8,Yes,Yes,7,8.5
S1264,6.2,No,Yes,3,7.1
S1265,24.5,No,Yes,1,8.0
S1266,10.0,Yes,Yes,4,6.0
S1267,5.7,No,Yes,7,8.4
S1268,17.3,No,Yes,6,7.9
S1269,28.6,No,No,10,5.5
S1270,27.2,No,Yes,3,7.0
S1271,29.6,Yes,Yes,1,4.3
S1272,11.2,No,Yes,8,4.7
S1273,22.4,Yes,Yes,2,8.7
S1274,6.4,Yes,No,5,4.0
S1275,25.1,No,Yes,3,5.0
S1276,18.1,No,Yes,4,4.7
S1277,29.9,No,Yes,3,7.5
S1278,11.0,No,Yes,3,4.5
S1279,24.6,No,Yes,3,4.1
S1280,9.3,Yes,Yes,10,8.7
S1281,12.2,Yes,Yes,8,8.4
S1282,12.4,Yes,Yes,1,5.8
S1283,19.4,No,Yes,2,4.5
S1284,14.1,Yes,Yes,2,7.4
S1285,16.0,No,Yes,9,8.4
S1286,18.0,No,Yes,7,8.9
S1287,6.4,Yes,No,10,4.7
S1288,21.6,Yes,Yes,7,7.0
S1289,21.2,No,Yes,8,6.2
S1290,29.1,Yes,Yes,2,4.8
S1291,8.3,No,Yes,10,8.0
S1292,5.8,No,Yes,1,7.9
S1293,8.3,Yes,Yes,6,8.8
S1294,15.6,Yes,Yes,3,4.4
S1295,10.3,Yes,Yes,2,5.2
S1296,10.4,No,Yes,3,8.1
